delay,lat1_min,lat1_avg,lat1_max,lat2_min,lat2_avg,lat2_max,lat3_min,lat3_avg,lat3_max,lat5_min,lat5_avg,lat5_max,s2_mis,s3_mis,s4_mis,count
1,0.0,50.6,343.2,567.9,1864.5,3110.6,3080.5,4818.3,6467.9,3094.5,4818.6,6470.3,0,0,124,876
2,0.0,162.3,698.3,208.2,1871.6,3022.0,880.0,3747.6,5322.1,886.8,3747.8,5322.5,0,0,138,862
4,0.1,175.1,599.3,127.7,741.7,1207.5,403.5,1730.2,2391.0,405.4,1727.1,2341.3,0,0,113,887
5,0.3,151.7,557.6,160.0,855.0,1484.0,484.1,1675.9,2447.2,485.1,1674.1,2450.1,0,0,128,872
6,0.2,184.9,645.4,2.6,86.9,281.1,7.1,158.6,460.9,7.9,159.3,462.2,0,0,114,886
7,0.0,176.7,713.5,2.3,96.6,380.8,6.7,174.3,656.8,7.1,174.9,655.8,0,0,121,879
8,0.3,216.8,855.7,2.6,41.7,291.4,6.5,77.4,498.9,7.5,78.0,498.9,0,0,138,862
9,0.0,190.4,899.8,2.4,26.0,232.7,5.9,47.9,369.2,7.2,48.7,368.0,0,0,114,886
10,0.0,182.1,853.6,2.6,13.6,197.2,6.2,25.8,308.2,7.6,26.5,309.3,0,0,121,879
15,0.0,160.1,964.5,2.9,7.4,100.3,7.5,16.2,174.5,8.7,17.0,175.5,0,0,168,832
20,0.0,125.7,856.2,3.4,7.0,140.4,7.7,16.1,196.4,9.2,17.0,198.8,0,0,121,879
25,0.7,136.9,940.0,3.9,7.7,105.6,10.0,17.9,145.6,11.4,18.6,149.7,0,0,122,878
30,0.7,152.1,977.6,4.9,8.9,79.3,10.9,21.4,127.3,11.7,22.0,128.3,0,0,135,865
